种类,TF-IDF,关键词
房产,0.44142923378617965,地标
体育,0.5390498075901103,开拓者
汽车,0.33914156115573296,高尔夫
财经,0.48581482570364454,站点
财经,0.5521973900315489,卖空
娱乐,0.6868732935588261,琼瑶
其他,0.5091712980564231,百里
体育,0.3392233084033191,德尔
娱乐,0.3734330497692881,王老凿
房产,0.4553629544409452,白云
财经,0.5436076277953047,翠花
其他,0.29483573336782504,cba
体育,0.5425226503840246,莫雷诺
娱乐,0.48797284032080546,元奎
房产,0.707500810330852,商业地产
房产,0.5012787513772986,福田区
体育,0.7768966929386649,格里芬
财经,0.5818817828494327,新德里
体育,0.4091048763132741,火箭
汽车,0.767345462896572,林肯
科技,0.5978025766865306,ip
娱乐,0.5818617884640161,三人
娱乐,0.43774629822374306,天娱
房产,0.5730752120877418,房产税
汽车,0.40807400156901247,召回
财经,0.31466064340408373,高子程
科技,0.5117949551043726,爱立信
汽车,0.6048224798595812,钥匙
其他,0.4015899775957956,自贸
其他,0.6225848912832944,刺猬
体育,0.5316623696129227,库蒂
娱乐,0.28711502499102354,张杰
房产,0.43236275612638303,围蔽
体育,0.5552063610751805,克劳福德
汽车,0.30378776954370823,艾瑞泽
科技,0.6148089261417671,组件
其他,0.37208085559596443,圣诞
体育,0.4870412800175192,中国女足
娱乐,0.32272140246318637,图兰朵
房产,0.46324315292442997,前海
汽车,0.5590911397683374,911
科技,0.3712722262285712,市场份额
科技,0.46946823407187915,伊藤穰一
汽车,0.6250493410936171,昌河
其他,0.3348737570542984,化妆
体育,0.8092457423800059,宏远队
汽车,0.49317043090616475,步骤
财经,0.3628137412833297,加西亚
其他,0.3758930070351067,伯恩茅
体育,0.4832697058669182,冰球
科技,0.3878884628613854,张涛
房产,0.46948341173471475,巡查
娱乐,0.3043305013581765,车太铉
体育,0.4853519761664722,体育产业
其他,0.20437268967326408,星期五
其他,0.3714130474230464,马玉玲
财经,0.46424841479206974,药品
体育,0.6213535465100588,郭士强
房产,0.7896481224502598,同德
科技,0.7212661866629553,机器人
财经,0.5076412900357116,史玉柱
体育,0.4738241561597574,博格
房产,0.42693286642099354,亿元
房产,0.49325396791856424,房价
娱乐,0.5836782522968559,倪虹洁
体育,0.6871657499425408,比斯
其他,0.33415363079627025,奥运会
其他,0.66165909914666,亚布力
汽车,0.42074681871052444,大众
房产,0.5147061583269614,新城
科技,0.6406323522893244,微鲸
科技,0.40772662102086565,友利
体育,0.570933745398413,莫拉
其他,0.317056113740103,猥亵
房产,0.5350106311354103,公园
科技,0.46076960287975255,秦朔
汽车,0.26107893414466904,加油卡
房产,0.4108981725656944,环比
娱乐,0.6286282712096866,吴晴
体育,0.6757419109376528,戴维斯
其他,0.6376126736203495,纹章
财经,0.575529452903665,国信
娱乐,0.4740383008207374,捐赠
汽车,0.39502704054416665,通用汽车
